6033.84,374.702,-3596.33
6074.08,374.688,-3490.90
6133.33,374.702,-3496.48
6323.28,415.846,-3780.14
6424.05,378.777,-3880.21
6679.19,351.398,-3862.34
6683.09,350.607,-4043.42
6630.83,355.155,-4201.79
6830.01,340.250,-4212.69
6650.89,348.012,-4318.04
6516.27,372.525,-4537.71
6352.23,358.804,-4683.97
6273.17,362.518,-4792.61
6141.76,349.295,-4627.10
6078.94,384.014,-4415.62
6175.13,379.507,-4362.97
6066.09,379.110,-4175.74
5796.56,415.506,-4252.89
5601.71,392.378,-4320.46
5472.64,374.479,-4521.84
5416.33,361.730,-4751.26
5239.51,367.973,-4808.60
5093.40,369.410,-4909.91
4874.50,388.620,-4854.31
4684.52,415.217,-4747.60
4573.88,444.503,-4568.29
4475.85,483.984,-4372.48
4464.85,474.649,-4151.85
4584.19,456.153,-3974.60
4737.31,431.288,-3843.71
4909.13,420.863,-3704.54
5047.42,424.757,-3545.70
5263.42,448.260,-3387.60
5496.69,421.452,-3433.92
5692.18,393.042,-3614.63
5767.48,386.879,-3810.37
6017.99,388.942,-3786.79
6109.01,374.702,-3613.48
6155.40,380.770,-3362.25
6317.14,393.846,-3230.62
6566.07,369.285,-3233.57
6614.60,356.181,-3398.38
6629.43,355.182,-3606.25
6401.75,359.294,-4559.86
